song_length,artist_1,artist_2,artist_3,song_name,file_name,vid_count
182,WYS,,,Snowman,ga1,1.0
123,Fatb,,,Cotton Cloud,ga2,1.0
164,imagiro,,,wool gloves,ga4,0.0
135,Glimlip,Yasper,,I'm sorry,ga5,0.0
101,mell-ø,,,Nova,ga6,2.0
116,goosetaf,the fields tape,francis,carried away,ga7,0.0
162,j'san,epektase,,snow & sand,ga8,0.0
104,HM Surf,,,Single Phial,ga9,0.0
117,cocabona,Glimlip,,Drops,ga10,0.0
147,Aso,,,espresso,ga11,1.0
100,Ambulo,mell-ø,,Luminescence,ga12,0.0
118,DLJ,BIDØ,,Explorers,ga13,0.0
123,Sarcastic Sounds,,,Wish You Were Mine,ga14,0.0
117,BluntOne,,,Reflections,ga15,1.0
200,Purrple Cat,,,Alone Time,ga16,1.0
140,Kupla,,,Owls of the Night,ga17,0.0
146,dryhope,,,Steps,ga18,1.0
86,ENRA,,,amber,ga19,1.0
151,Psalm Trees,,,fever,ga20,0.0
110,H.1,,,Circle,ga21,0.0
171,Pandrezz,,,Cuddlin,ga22,0.0
132,Jordy Chandra,,,Late Night Call,ga23,0.0
118,less.people,,,Gyoza,ga24,1.0
170,G Mills,,,Keyframe,ga25,0.0
94,mvdb,,,breeze,ga26,1.0
187,Mondo Loops,,,Lunar Drive,ga27,1.0
135,eaup,Epona,,Seashells,gb2,1.0
129,Lawrence Walther,Tibeauthetraveler,,Tender,gb3,0.0
165,WYS,,,Simple Dreams,gb4,1.0
128,Chau Sara,,,Deep Dive,gb5,0.0
179,Purrple Cat,,,Sleepless,gb6,0.0
162,fourwalls,Umbriel,,talked in a dream,gb7,0.0
151,Chau Sara,,,Friday,gb8,1.0
177,Hoffy Beats,Enluv,,Leaving Earth,gb9,1.0
133,softy,Yasumu,,Since That Night,gb10,0.0
99,Dontcry,Nokiaa,,Became,gb11,0.0
221,HM surf,,,Sleepy Melly ,gb12,2.0
114,LESKY,Waywell,,Lucid Night,gb13,0.0
157,Mondo Loops,l'Outlander,,Morning Dew,gb14,2.0
190,No Spirit,Mondo Loops,,Choosing You,gb15,1.0
172,Team Astro,,,Last Call,gb16,1.0
141,Bcalm,softy,Banks,Cozy,gb17,1.0
157,Kaspa.,Piotr Wiese,,Baltic Sea Cruise,gb18,0.0
155,Loafy Building,Amess,,Littlewood,gb19,0.0
167,Diiolme,l'Outlander,,Arizona Night,gb20,0.0
120,Casiio,Dontcry,,Sleeping In,gb21,1.0
108,HM surf,,,Fancy Brew,gb22,1.0
120,Sleepermane,Sling Dilly,,Hue,gb23,1.0
170,jhove,cxlt.,,take me far away,gb24,1.0
124,no one's perfect,Mondo Loops,,Ceres Calls,gb25,1.0
73,Kinissue,softy,Redmatic,Serenity,gb26,1.0
165,No Spirit,,,Glowing Lights,gc1,1.0
155,dryhope,,,somewhere else,gc2,1.0
113,Eisu,,,Sheets,gc3,0.0
120,Casiio,Sleepermane,,Phantasm,gc4,0.0
156,Project AER,WYS,,After Sunset,gc5,0.0
151,Tenno,,,Luna,gc6,0.0
121,Sebastian Kamae,Intoku,,Lucid,gc7,2.0
193,Epektase,j'san,,Contemplation,gc8,1.0
104,Casiio,Sleepermane,,Signals,gc9,0.0
141,Phlocalyst,Living Room,,Feelings,gc10,1.0
164,Pandrezz,,,Blind Forest ,gc11,0.0
162,SwuM,chief.,,Show me How,gc12,0.0
199,Comodo,,,Numb,gc13,0.0
133,TABAL,mell-ø,,Weightless,gc14,2.0
134,Ambulo,,,Night Bus,gc15,0.0
122,Kanisan,Frad,,Fireflies,gc16,0.0
126,H.1,,,Timeless,gc17,0.0
139,Yasumu,,,Recharge,gc18,1.0
160,cxlt.,,,Fade Away,gc19,0.0
125,Mondo Loops,Kanisan,,Escape Route,gc20,0.0
164,towerz,,,fateful slumber,gc21,1.0
203,brillion.,,,Crescent,gc22,0.0
179,less.people,,,persist,gc23,0.0
162,Mondo Loops,,,Drifting Far Away,gc24,1.0
